AttendanceID,EmployeeID,Date,InTime,OutTime,WorkHours,Status,Remarks,ShiftCode
1,1,01/04/2024,,,0,Absent,,NN
2,1,02/04/2024,10:15,19:30,9.25,Present,Late,MM
3,1,03/04/2024,09:15,18:15,9,Present,,G1
4,1,04/04/2024,09:45,19:30,9.75,Present,Late,NN
5,1,05/04/2024,,,0,Leave,Annual Leave,G1
6,1,06/04/2024,,,0,Absent,,G1
7,1,07/04/2024,08:45,17:45,9,Present,WFH,NA
8,1,08/04/2024,11:00,15:00,4,Half Day,Personal Work,NA
9,1,09/04/2024,08:45,17:45,9,Present,,NN
10,1,10/04/2024,09:30,19:15,9.75,Present,WFH,GG
11,1,11/04/2024,,,0,Leave,Sick Leave,MM
12,1,12/04/2024,09:00,13:00,4,Half Day,Late,G2
13,1,13/04/2024,09:15,18:30,9.25,Present,Late,MA
14,1,14/04/2024,,,0,Absent,,MM
15,1,15/04/2024,09:00,18:45,9.75,Present,WFH,G2
16,1,16/04/2024,11:00,15:00,4,Half Day,Late,G2
17,1,17/04/2024,,,0,Leave,Annual Leave,NN
18,1,18/04/2024,09:30,18:30,9,Present,Late,GG
19,1,19/04/2024,08:15,18:00,9.75,Present,Late,MM
20,1,20/04/2024,10:00,19:45,9.75,Present,Late,GG
21,1,21/04/2024,09:15,18:15,9,Present,,GG
22,1,22/04/2024,08:15,17:30,9.25,Present,,MM
23,1,23/04/2024,,,0,Leave,Sick Leave,G2
24,1,24/04/2024,,,0,Absent,,NN
25,1,25/04/2024,10:45,20:00,9.25,Present,WFH,G1
26,1,26/04/2024,09:15,19:00,9.75,Present,WFH,G1
27,1,27/04/2024,09:00,18:45,9.75,Present,WFH,NA
28,1,28/04/2024,08:15,17:15,9,Present,WFH,NA
29,1,29/04/2024,08:00,17:30,9.5,Present,,MA
30,1,30/04/2024,10:30,19:30,9,Present,WFH,MA
31,1,01/05/2024,08:30,18:15,9.75,Present,WFH,NA
32,1,02/05/2024,08:15,17:45,9.5,Present,Late,NN
33,1,03/05/2024,08:00,17:45,9.75,Present,WFH,G2
34,1,04/05/2024,10:30,19:30,9,Present,,MA
35,1,05/05/2024,08:45,18:00,9.25,Present,,GG
36,1,06/05/2024,10:15,20:00,9.75,Present,,MA
37,1,07/05/2024,08:15,17:45,9.5,Present,WFH,GG
38,1,08/05/2024,08:15,18:00,9.75,Present,Late,NA
39,1,09/05/2024,,,0,Absent,Sick,G1
40,1,10/05/2024,09:00,18:45,9.75,Present,,GG
41,1,11/05/2024,09:15,18:30,9.25,Present,,MM
42,1,12/05/2024,10:15,19:30,9.25,Present,Late,MM
43,1,13/05/2024,09:30,19:00,9.5,Present,WFH,NA
44,1,14/05/2024,,,0,Leave,Sick Leave,NN
45,1,15/05/2024,,,0,Leave,Annual Leave,NN
46,1,16/05/2024,09:45,18:45,9,Present,WFH,NN
47,1,17/05/2024,10:45,20:00,9.25,Present,,G2
48,1,18/05/2024,10:45,20:00,9.25,Present,Late,G1
49,1,19/05/2024,08:15,17:15,9,Present,WFH,G1
50,1,20/05/2024,08:45,18:30,9.75,Present,,G2
51,1,21/05/2024,09:30,18:45,9.25,Present,WFH,NA
52,1,22/05/2024,09:45,18:45,9,Present,WFH,NA
53,1,23/05/2024,10:45,20:30,9.75,Present,,GG
54,1,24/05/2024,09:45,19:15,9.5,Present,Late,G1
55,1,25/05/2024,11:15,15:15,4,Half Day,Personal Work,NN
56,1,26/05/2024,10:30,20:15,9.75,Present,WFH,NA
57,1,27/05/2024,,,0,Leave,Annual Leave,GG
58,1,28/05/2024,10:00,19:00,9,Present,WFH,G1
59,1,29/05/2024,09:15,19:00,9.75,Present,,G2
60,1,30/05/2024,10:00,19:45,9.75,Present,Late,G2
61,1,31/05/2024,,,0,Leave,Annual Leave,MA
62,1,01/06/2024,08:30,18:00,9.5,Present,,MA
63,1,02/06/2024,10:45,19:45,9,Present,WFH,NA
64,1,03/06/2024,10:30,20:00,9.5,Present,,G1
65,1,04/06/2024,10:00,19:00,9,Present,WFH,NA
66,1,05/06/2024,09:00,18:30,9.5,Present,Late,NN
67,1,06/06/2024,10:00,19:45,9.75,Present,Late,NA
68,1,07/06/2024,10:30,19:45,9.25,Present,WFH,G1
69,1,08/06/2024,,,0,Absent,WeekOff,NN
70,1,09/06/2024,09:00,18:45,9.75,Present,Late,MM
71,1,10/06/2024,08:30,18:15,9.75,Present,,G1
72,1,11/06/2024,08:30,18:15,9.75,Present,Late,G1
73,1,12/06/2024,10:30,20:00,9.5,Present,,MM
74,1,13/06/2024,08:45,18:15,9.5,Present,WFH,G1
75,1,14/06/2024,09:00,18:00,9,Present,WFH,MM
76,1,15/06/2024,09:00,18:15,9.25,Present,,G2
77,1,16/06/2024,08:15,17:45,9.5,Present,,G1
78,1,17/06/2024,08:00,17:15,9.25,Present,Late,G1
79,1,18/06/2024,09:45,19:15,9.5,Present,Late,GG
80,1,19/06/2024,08:30,17:30,9,Present,Late,NN
81,1,20/06/2024,08:15,17:15,9,Present,WFH,G1
82,1,21/06/2024,08:00,17:30,9.5,Present,WFH,GG
83,1,22/06/2024,10:30,19:30,9,Present,,G1
84,1,23/06/2024,09:15,13:15,4,Half Day,Personal Work,G1
85,1,24/06/2024,08:45,18:00,9.25,Present,WFH,MM
86,1,25/06/2024,08:00,17:30,9.5,Present,Late,NN
87,1,26/06/2024,08:00,17:45,9.75,Present,,NN
88,1,27/06/2024,08:30,17:30,9,Present,WFH,G1
89,1,28/06/2024,,,0,Leave,Sick Leave,G2
